size_name
0-3 Months (50cm)
00-0(68)
000(62)
1(84)
10-11Y(140)
11-12 Years (150cm)
11-12Y(150)
12-13Y(150)
12-18 Months (80cm)
12-18(80)
12-18M(84)
13 Years (160cm)
13Y(160)
14Y(160)
15-20 (9-12cm)
16-20cm
18-24 Months (90cm)
18-24(90)
18-24M(92)
2(92)
20-24 (12-15cm)
20-24cm
3 Years (100cm)
3(100)
3-4 Years (110cm)
3-4Y(100)
3-4Y(110)
3-6 Months (60cm)
3-6(60)
3-6M(62)
3Y(100)
3Y-8Y
4(108)
4-5Y(110)
5-6 Years (120cm)
5-6Y(120)
6-12 Months (70cm)
6-12(70)
6-12M(68)
6-7Y(120)
7-8 Years (130cm)
7-8Y(130)
8-9Y(130)
8Y-12Y
9-10 Years (140cm)
9-10Y(140)
Age0-3M(50)
Age11-12(150)
Age12-18M(80)
Age13(160)
Age18-24M(90)
Age3(100)
Age3-4(110)
Age3-6M(60)
Age4(110)
Age5-6(120)
Age6-12M(70)
Age7-8(130)
Age9-10(140)
Bestseller
M/L
No Control
PINK
S/M
UK1-5 (20-24cm)
UK9-1(16-20cm)
